REF_DATE,GEO,DGUID,Type of structure,Type of unit,VECTOR,COORDINATE,VALUE,city,province
2012,"Halifax, Nova Scotia",2011S0503205,Row and apartment structures of three units and over,One bedroom units,v3822951,10.3.2,773.0,Halifax,Nova Scotia
2012,"Halifax, Nova Scotia",2011S0503205,Row and apartment structures of three units and over,Two bedroom units,v3823085,10.3.3,953.0,Halifax,Nova Scotia
2012,"Halifax, Nova Scotia",2011S0503205,Row and apartment structures of three units and over,Three bedroom units,v3823219,10.3.4,1186.0,Halifax,Nova Scotia
2012,"Halifax, Nova Scotia",2011S0503205,Row structures of three units and over,One bedroom units,v3823487,10.2.2,727.0,Halifax,Nova Scotia
2012,"Halifax, Nova Scotia",2011S0503205,Row structures of three units and over,Two bedroom units,v3823621,10.2.3,895.0,Halifax,Nova Scotia
2012,"Halifax, Nova Scotia",2011S0503205,Row structures of three units and over,Three bedroom units,v3823755,10.2.4,1118.0,Halifax,Nova Scotia
2012,"Halifax, Nova Scotia",2011S0503205,Apartment structures of three units and over,Bachelor units,v3823889,10.1.1,690.0,Halifax,Nova Scotia
2012,"Halifax, Nova Scotia",2011S0503205,Apartment structures of three units and over,One bedroom units,v3824023,10.1.2,773.0,Halifax,Nova Scotia
2012,"Halifax, Nova Scotia",2011S0503205,Apartment structures of three units and over,Two bedroom units,v3824157,10.1.3,954.0,Halifax,Nova Scotia
2012,"Halifax, Nova Scotia",2011S0503205,Apartment structures of three units and over,Three bedroom units,v3824291,10.1.4,1191.0,Halifax,Nova Scotia
2012,"Halifax, Nova Scotia",2011S0503205,Apartment structures of six units and over,Bachelor units,v3824425,10.4.1,696.0,Halifax,Nova Scotia
2012,"Halifax, Nova Scotia",2011S0503205,Apartment structures of six units and over,One bedroom units,v3824613,10.4.2,778.0,Halifax,Nova Scotia
2012,"Halifax, Nova Scotia",2011S0503205,Apartment structures of six units and over,Two bedroom units,v3824801,10.4.3,960.0,Halifax,Nova Scotia
2012,"Halifax, Nova Scotia",2011S0503205,Apartment structures of six units and over,Three bedroom units,v3824989,10.4.4,1177.0,Halifax,Nova Scotia
2012,"Kentville, Nova Scotia",2011S0504210,Row and apartment structures of three units and over,Bachelor units,v3822946,11.3.1,477.0,Kentville,Nova Scotia
2012,"Kentville, Nova Scotia",2011S0504210,Row and apartment structures of three units and over,One bedroom units,v3823080,11.3.2,540.0,Kentville,Nova Scotia
2012,"Kentville, Nova Scotia",2011S0504210,Row and apartment structures of three units and over,Two bedroom units,v3823214,11.3.3,661.0,Kentville,Nova Scotia
2012,"Kentville, Nova Scotia",2011S0504210,Row and apartment structures of three units and over,Three bedroom units,v3823348,11.3.4,710.0,Kentville,Nova Scotia
2012,"Kentville, Nova Scotia",2011S0504210,Row structures of three units and over,Two bedroom units,v3823750,11.2.3,803.0,Kentville,Nova Scotia
2012,"Kentville, Nova Scotia",2011S0504210,Apartment structures of three units and over,Bachelor units,v3824018,11.1.1,477.0,Kentville,Nova Scotia
2012,"Kentville, Nova Scotia",2011S0504210,Apartment structures of three units and over,One bedroom units,v3824152,11.1.2,539.0,Kentville,Nova Scotia
2012,"Kentville, Nova Scotia",2011S0504210,Apartment structures of three units and over,Two bedroom units,v3824286,11.1.3,656.0,Kentville,Nova Scotia
2012,"Kentville, Nova Scotia",2011S0504210,Apartment structures of three units and over,Three bedroom units,v3824420,11.1.4,710.0,Kentville,Nova Scotia
2012,"Kentville, Nova Scotia",2011S0504210,Apartment structures of six units and over,Bachelor units,v3824608,11.4.1,462.0,Kentville,Nova Scotia
2012,"Kentville, Nova Scotia",2011S0504210,Apartment structures of six units and over,One bedroom units,v3824796,11.4.2,548.0,Kentville,Nova Scotia
2012,"Kentville, Nova Scotia",2011S0504210,Apartment structures of six units and over,Two bedroom units,v3824984,11.4.3,663.0,Kentville,Nova Scotia
2012,"Kentville, Nova Scotia",2011S0504210,Apartment structures of six units and over,Three bedroom units,v3825172,11.4.4,741.0,Kentville,Nova Scotia
2012,"New Glasgow, Nova Scotia",2011S0504220,Row and apartment structures of three units and over,Bachelor units,v3822914,13.3.1,483.0,New Glasgow,Nova Scotia
2012,"New Glasgow, Nova Scotia",2011S0504220,Row and apartment structures of three units and over,One bedroom units,v3823048,13.3.2,540.0,New Glasgow,Nova Scotia
2012,"New Glasgow, Nova Scotia",2011S0504220,Row and apartment structures of three units and over,Two bedroom units,v3823182,13.3.3,655.0,New Glasgow,Nova Scotia
2012,"New Glasgow, Nova Scotia",2011S0504220,Row and apartment structures of three units and over,Three bedroom units,v3823316,13.3.4,657.0,New Glasgow,Nova Scotia
2012,"New Glasgow, Nova Scotia",2011S0504220,Row structures of three units and over,One bedroom units,v3823584,13.2.2,528.0,New Glasgow,Nova Scotia
2012,"New Glasgow, Nova Scotia",2011S0504220,Row structures of three units and over,Two bedroom units,v3823718,13.2.3,662.0,New Glasgow,Nova Scotia
2012,"New Glasgow, Nova Scotia",2011S0504220,Row structures of three units and over,Three bedroom units,v3823852,13.2.4,643.0,New Glasgow,Nova Scotia
2012,"New Glasgow, Nova Scotia",2011S0504220,Apartment structures of three units and over,Bachelor units,v3823986,13.1.1,488.0,New Glasgow,Nova Scotia
2012,"New Glasgow, Nova Scotia",2011S0504220,Apartment structures of three units and over,One bedroom units,v3824120,13.1.2,540.0,New Glasgow,Nova Scotia
2012,"New Glasgow, Nova Scotia",2011S0504220,Apartment structures of three units and over,Two bedroom units,v3824254,13.1.3,655.0,New Glasgow,Nova Scotia
2012,"New Glasgow, Nova Scotia",2011S0504220,Apartment structures of three units and over,Three bedroom units,v3824388,13.1.4,694.0,New Glasgow,Nova Scotia
2012,"New Glasgow, Nova Scotia",2011S0504220,Apartment structures of six units and over,Bachelor units,v3824569,13.4.1,500.0,New Glasgow,Nova Scotia
2012,"New Glasgow, Nova Scotia",2011S0504220,Apartment structures of six units and over,One bedroom units,v3824757,13.4.2,530.0,New Glasgow,Nova Scotia
2012,"New Glasgow, Nova Scotia",2011S0504220,Apartment structures of six units and over,Two bedroom units,v3824945,13.4.3,664.0,New Glasgow,Nova Scotia
2012,"Queens, Nova Scotia",2011A00051204010,Row and apartment structures of three units and over,One bedroom units,v53843669,211.3.2,534.0,Queens,Nova Scotia
2012,"Queens, Nova Scotia",2011A00051204010,Row and apartment structures of three units and over,Two bedroom units,v53843709,211.3.3,559.0,Queens,Nova Scotia
2012,"Queens, Nova Scotia",2011A00051204010,Apartment structures of three units and over,One bedroom units,v53843989,211.1.2,534.0,Queens,Nova Scotia
2012,"Queens, Nova Scotia",2011A00051204010,Apartment structures of three units and over,Two bedroom units,v53844029,211.1.3,559.0,Queens,Nova Scotia
2012,"Queens, Nova Scotia",2011A00051204010,Apartment structures of six units and over,Two bedroom units,v53844189,211.4.3,560.0,Queens,Nova Scotia
2012,"Truro, Nova Scotia",2011S0504215,Row and apartment structures of three units and over,Bachelor units,v3822937,14.3.1,489.0,Truro,Nova Scotia
2012,"Truro, Nova Scotia",2011S0504215,Row and apartment structures of three units and over,One bedroom units,v3823071,14.3.2,597.0,Truro,Nova Scotia
2012,"Truro, Nova Scotia",2011S0504215,Row and apartment structures of three units and over,Two bedroom units,v3823205,14.3.3,773.0,Truro,Nova Scotia
2012,"Truro, Nova Scotia",2011S0504215,Row and apartment structures of three units and over,Three bedroom units,v3823339,14.3.4,802.0,Truro,Nova Scotia
2012,"Truro, Nova Scotia",2011S0504215,Row structures of three units and over,Two bedroom units,v3823741,14.2.3,793.0,Truro,Nova Scotia
2012,"Truro, Nova Scotia",2011S0504215,Row structures of three units and over,Three bedroom units,v3823875,14.2.4,714.0,Truro,Nova Scotia
